matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,B0_direct_objective,B2B_R3_root_lp_bound,B3_global_lb,B3_global_ub,B3_global_gap,B3_tree_closed,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,node_count,evaluated_node_count,open_node_count,incomplete_node_count,pruned_by_bound_count,integer_incumbent_count,branch_count,max_depth_reached,NO_FRACTIONAL_RF_PAIR_count,manual_rc_audit_pass,pricing_rc_audit_pass,branch_pricing_audit_pass,proof_debt_unreleased_count,selected_harvest_addability_fail_count,all_node_ledgers_valid,direct_dp_used_as_bpc_certificate,root_bound_gt_B0_violation,tree_incumbent_diff_vs_B0,certificate_scope_regression,manual_rc_fail,pricing_rc_fail,branch_pricing_audit_fail,proof_debt_unreleased_certified,direct_dp_certificate_leak,NO_FRACTIONAL_RF_PAIR_treated_as_integral,open_node_but_tree_optimal,incomplete_node_but_tree_optimal,wall_time,fail_closed_reason
5-scale selected,5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1310.952686,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.004549,
5-scale selected,5,lunar_ice_sp50_005_001_seed679001,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1310.952686,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.00454,
5-scale selected,5,lunar_ice_sp50_005_001_seed679001,B2B_R3_true_dual_negative_search_worker,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1310.952686,1310.952686,,,,False,0,0,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.152875,
5-scale selected,5,lunar_ice_sp50_005_001_seed679001,B3A_full_universe_branch_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,,,1310.952686,,,False,0,0,1,1,0,0,0,0,0,0,0,True,True,True,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.088533,
5-scale selected,5,lunar_ice_sp50_005_001_seed679001,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1310.952686,,1310.952686,1310.952686,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.322386,
20-scale fail-closed guard,20,lunar_ice_sp50_020_001_seed829001,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.011901,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_001_seed829001,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008068,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_001_seed829001,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.014287,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_001_seed829001,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.00826,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_002_seed829002,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.010706,task_count=20 exceeds max_exact_tasks=10
