instance_id,mode,status,bpc_tree_optimal,wall_time,evidence_source,root_round_count,root_added_column_count,max_rounds,max_columns_per_round
lunar_ice_sp50_020_001_seed829001,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,14.794217,full8,7,531,8,128
lunar_ice_sp50_020_001_seed829001,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,14.803032,full8,7,531,8,128
lunar_ice_sp50_020_002_seed829002,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,11.068164,failed16,9,655,16,128
lunar_ice_sp50_020_002_seed829002,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,11.062275,failed16,9,655,16,128
lunar_ice_sp50_020_003_seed829003,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,30.677904,failed16,10,582,16,128
lunar_ice_sp50_020_003_seed829003,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,31.013511,failed16,10,582,16,128
lunar_ice_sp50_020_004_seed829004,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,32.822937,failed16,9,772,16,128
lunar_ice_sp50_020_004_seed829004,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,32.179981,failed16,9,772,16,128
lunar_ice_sp50_020_005_seed829005,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,28.721101,full8,8,772,8,128
lunar_ice_sp50_020_005_seed829005,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,28.771976,full8,8,772,8,128
lunar_ice_sp50_020_006_seed829006,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,14.634741,full8,6,640,8,128
lunar_ice_sp50_020_006_seed829006,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,14.629559,full8,6,640,8,128
lunar_ice_sp50_020_007_seed829027,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,12.592154,full8,7,469,8,128
lunar_ice_sp50_020_007_seed829027,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,12.633172,full8,7,469,8,128
lunar_ice_sp50_020_008_seed829008,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,36.540141,full8,6,530,8,128
lunar_ice_sp50_020_008_seed829008,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,36.500224,full8,6,530,8,128
lunar_ice_sp50_020_009_seed829009,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,24.649907,full8,7,627,8,128
lunar_ice_sp50_020_009_seed829009,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,24.899622,full8,7,627,8,128
lunar_ice_sp50_020_010_seed829010,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,63.630166,failed16,8,756,16,128
lunar_ice_sp50_020_010_seed829010,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,63.944419,failed16,8,756,16,128
lunar_ice_sp50_020_011_seed829011,stageA_B3B_accepted_baseline,closed_at_8_rounds,True,47.241533,full8,6,485,8,128
lunar_ice_sp50_020_011_seed829011,stageA_B4V2_default_final_judge_harvesting,closed_at_8_rounds,True,47.076148,full8,6,485,8,128
lunar_ice_sp50_020_012_seed829012,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,75.141611,failed16,9,656,16,128
lunar_ice_sp50_020_012_seed829012,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,78.185324,failed16,9,656,16,128
lunar_ice_sp50_020_013_seed829013,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,33.523362,failed16,9,789,16,128
lunar_ice_sp50_020_013_seed829013,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,33.153849,failed16,9,789,16,128
lunar_ice_sp50_020_014_seed829014,stageA_B3B_accepted_baseline,closed_after_16_round_recheck,True,33.552529,failed16,9,746,16,128
lunar_ice_sp50_020_014_seed829014,stageA_B4V2_default_final_judge_harvesting,closed_after_16_round_recheck,True,33.706069,failed16,9,746,16,128
