matrix_group,source_json,instance_id,phase,round,variant,formulation_kind,row_count_added,var_count_before,var_count_after,constraint_count_before,constraint_count_after,arc_options_removed,slot_count_before,slot_count_after,compact_pricing_status,compact_pricing_exact_status,compact_pricing_best_rc,compact_pricing_dual_bound,compact_pricing_gap,mip_nodes,simplex_iterations,wall_time,negative_found,negative_rc,negative_column_count,new_negative_columns_found,cut_candidate_count,cut_violated_count,max_violation,active_column_count,pool_column_count,columns_added,active_columns_after_merge,can_certify_no_negative,certificate_scope,global_remaining_rc_lb,frontier_coverage_complete,frontier_region_count,frontier_unsupported_region_count,pending_complete_min_rc,pricing_proof_kind,compact_final_judge_profile,compact_final_judge_formulation_profile,phase_budget_sec,negative_feasibility_budget_sec,optimization_proof_budget_sec,negative_discovery_budget_exhausted,optimization_proof_missing,pricing_complete_by_compact_milp,negative_feasibility_search_enabled,mtz_endpoint_order_cuts_enabled,mtz_endpoint_order_cut_count,pair_adjacency_cuts_enabled,pair_adjacency_cut_count,sortie_slots_per_journey,sortie_slot_bound_source,latest_service_start_slot_bound_enabled,sortie_slot_horizon_count_bound,sortie_slot_latest_start_count_bound,time_window_arc_pruning_enabled,time_window_arc_option_count,time_window_impossible_arc_option_count,restricted_negative_feasibility_claimed_certificate,positive_incumbent_rc_claimed_certificate
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_001/probe.json,lunar_ice_sp50_030_001_seed929001,history,1,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,,,-0.004483331,-0.004483238,0.0,,,356.172487,True,-0.004483331,1,1,,,,271,299,1,,False,DIAGNOSTIC_PRICING_FRONTIER,-0.004483238,False,1,1,-0.004483331,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_001/probe.json,lunar_ice_sp50_030_001_seed929001,history,2,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,48532,,50704,0,30,21,,,-0.005703396,-0.578392616,,,,114.092881,True,-0.005703396,1,1,,,,272,300,1,,False,DIAGNOSTIC_PRICING_FRONTIER,-0.578392616,False,1,1,-0.005703396,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,True,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_001/probe.json,lunar_ice_sp50_030_001_seed929001,history,3,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,,,0.035646975,-0.192496096,6.400109898,,,124.430481,False,,0,0,,,,273,300,0,,False,DIAGNOSTIC_PRICING_FRONTIER,-0.192496096,False,1,1,0.035646975,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_001/probe.json,lunar_ice_sp50_030_001_seed929001,final_judge,3,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,0.035646975,-0.192496096,6.400109898,2,35976,124.430481,False,,0,0,,,,,,0,300,False,DIAGNOSTIC_PRICING_FRONTIER,-0.192496096,False,1,1,0.035646975,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,True,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_001/probe.json,lunar_ice_sp50_030_001_seed929001,staged_frontier_active_pool_subset_row_probe,,V5_subset_row_master_diagnostic_only,master_subset_row_restricted_active_pool,0,,,,,,,,,,,,,,,,False,,0,0,10,0,0.0,300,300,0,300,False,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_002/probe.json,lunar_ice_sp50_030_001_seed929001,history,1,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,,,-0.006394256,-0.006394755,0.0,,,449.977879,True,-0.006394256,1,1,,,,273,301,1,,False,DIAGNOSTIC_PRICING_FRONTIER,-0.006394755,False,1,1,-0.006394256,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_002/probe.json,lunar_ice_sp50_030_001_seed929001,history,2,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,,,0.0102109,-0.179285852,18.558485194,,,141.813069,False,,0,0,,,,274,301,0,,False,DIAGNOSTIC_PRICING_FRONTIER,-0.179285852,False,1,1,0.0102109,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_002/probe.json,lunar_ice_sp50_030_001_seed929001,final_judge,2,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,0.0102109,-0.179285852,18.558485194,142,88525,141.813069,False,,0,0,,,,,,0,301,False,DIAGNOSTIC_PRICING_FRONTIER,-0.179285852,False,1,1,0.0102109,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,True,30,21,False,2247,0,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_002/probe.json,lunar_ice_sp50_030_001_seed929001,staged_frontier_active_pool_subset_row_probe,,V5_subset_row_master_diagnostic_only,master_subset_row_restricted_active_pool,0,,,,,,,,,,,,,,,,False,,0,0,10,0,0.0,301,301,0,301,False,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,False
B4.1 Stage B V4 staged resume parsed diagnostic,runs/b4_1_true_dual_proof_tail_stage_b_30_v4_merged_staged_resume/stage_003/probe.json,lunar_ice_sp50_030_001_seed929001,history,1,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,49162,,96251,0,30,21,,,-0.006368,-0.006368069,0.0,,,399.033084,True,-0.006368,1,1,,,,274,302,1,,False,DIAGNOSTIC_PRICING_FRONTIER,-0.006368069,False,1,1,-0.006368,FRONTIER_BOUND_INCOMPLETE,,,,,,False,False,False,False,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,False,2247,0,False,False
