variant,error,wall_outer_s,status,pricing_state,exact_status,variable_count,constraint_count,dual_bound,best_reduced_cost,wall_time_sec,mtz_endpoint_order_cut_count,pair_adjacency_cut_count,sortie_slot_position_bound_count,service_start_depot_travel_lb_count,task_to_depot_return_travel_lb_count,single_task_energy_lb_count,single_task_shadow_lb_count,pair_route_duration_lb_count,pair_weighted_completion_lb_count,pair_energy_lb_count,pair_shadow_lb_count,pair_energy_infeasible_cut_count,pair_time_window_infeasible_cut_count,pair_shadow_infeasible_cut_count,triple_time_window_infeasible_cut_count,triple_shadow_infeasible_cut_count,triple_energy_infeasible_cut_count,quad_time_window_infeasible_cut_count
baseline,,2.270548,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11437,-0.282404269,,2.270252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sortie_position,,2.182627,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11499,-0.273551336,,2.182332,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service_start_lb,,2.207472,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11712,,,2.207116,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
task_return_lb,,2.186318,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11712,,,2.185966,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0
service_and_return_lb,,2.184646,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11987,,,2.184279,0,0,0,275,275,0,0,0,0,0,0,0,0,0,0,0,0,0
single_energy_lb,,2.188063,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11712,-0.30640909,,2.187708,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0
single_shadow_lb,,2.193609,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11712,-0.304230189,0.137753,2.193182,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0
single_resource_lb,,2.922994,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,11987,-0.310436329,,2.922605,0,0,0,0,0,275,275,0,0,0,0,0,0,0,0,0,0,0
pair_route_duration_lb,,2.200636,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,13859,-0.290042083,,2.200258,0,0,0,0,0,0,0,2422,0,0,0,0,0,0,0,0,0,0
pair_weighted_completion_lb,,2.203474,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,13859,-0.284874635,,2.20312,0,0,0,0,0,0,0,0,2422,0,0,0,0,0,0,0,0,0
pair_energy_lb,,1.898371,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,13859,,,1.898044,0,0,0,0,0,0,0,0,0,2422,0,0,0,0,0,0,0,0
pair_shadow_lb,,2.370285,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,13859,,,2.369962,0,0,0,0,0,0,0,0,0,0,2422,0,0,0,0,0,0,0
pair_infeasible_cuts,,2.215794,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,12259,-0.280456094,,2.215412,0,0,0,0,0,0,0,0,0,0,0,333,489,0,0,0,0,0
triple_infeasible_cuts,,2.321842,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,20366,-0.29086145,0.14191,2.321439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608,416,1905,0
quad_time_window_infeasible,,2.937533,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,63342,-0.317033487,,2.93651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51905
all_single_time_resource,,2.217583,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,INCOMPLETE_LIMIT,NOT_SOLVED,6009,12599,,,2.217195,0,0,62,275,275,275,275,0,0,0,0,0,0,0,0,0,0,0
