active_column_count,algorithm_status,best_reduced_cost,bpc_tree_optimal,certificate_scope,columns_added,end_to_end_stage_sum_sec,end_to_end_wall_time_sec,exact_certificate,final_judge_formulation_profile,final_judge_profile,final_judge_wall_time_sec,global_remaining_rc_lb,instance_index,instance_key,instance_path,mip_node_count,note,phase,pool_active_column_count,pool_added_column_count_last_stage,pool_build_wall_time_sec,pool_certified,pool_elapsed_stage_sum_sec,pool_phase_mode,pool_profile,pool_stage_count,pricing_proof_kind,pricing_state,profile,profile_phase_mode,result_json,round_count,row_wall_time_sec,simplex_iteration_count,source_probe_json,strict_from_json,tight_sequence_count,tight_sequence_max_reduction,tree_optimal,wall_time_sec
,BPC_GAP_AVAILABLE,,,BPC_NODE_LP_CERTIFIED,,,,,,,,,,instance_001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_001_logical_graph.json,,,pool_build,151,48,541.578199,True,1052.687022,proof_only,V4S,3,,CERTIFIED_NO_NEGATIVE,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_001/stage_003/probe.json,True,,,,
151,BPC_INCOMPLETE_PRICING,,False,DIAGNOSTIC_PRICING_FRONTIER,13,1053.244327,542.135504,False,,,,,1,instance_001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_001_logical_graph.json,,,tree_closure,,,541.578199,,1052.687022,,,,,INCOMPLETE_LIMIT,V4S,proof_only,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/proofs/instance_001/V4S/tree_closure_results/tree_closure_001.json,1,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_001/stage_003/probe.json,True,,,False,0.557305
151,BPC_INCOMPLETE_PRICING,,False,DIAGNOSTIC_PRICING_FRONTIER,13,1053.238231,542.129408,False,,,,,1,instance_001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_001_logical_graph.json,,,tree_closure,,,541.578199,,1052.687022,,,,,INCOMPLETE_LIMIT,V4SZ,proof_only,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/proofs/instance_001/V4SZ/tree_closure_results/tree_closure_001.json,1,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_001/stage_003/probe.json,True,,,False,0.551209
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_002,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_002_logical_graph.json,,,pool_build,39,5,70.233283,False,70.048967,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_002/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,2,instance_002,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_002_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,70.233283,,70.048967,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_002/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,2,instance_002,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_002_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,70.233283,,70.048967,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_002/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_003,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_003_logical_graph.json,,,pool_build,39,5,94.934347,False,94.624442,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_003/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,3,instance_003,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_003_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,94.934347,,94.624442,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_003/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,3,instance_003,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_003_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,94.934347,,94.624442,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_003/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_004,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_004_logical_graph.json,,,pool_build,39,5,60.605907,False,60.294765,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_004/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,4,instance_004,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_004_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,60.605907,,60.294765,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_004/stage_001/probe.json,True,,,False,
