slot_id,scale,instance_key,status,returncode,cold_start_total_sec,root_cg_sec,tree_sec,exact,correctness_pass,objective,historical_p0_v2_objective,objective_delta_vs_historical_p0_v2,historical_p0_v2_sec,time_ratio_vs_historical_p0_v2,peak_process_tree_rss_gb,launcher_termination_reason,engine_build_hash,instance_content_hash,service_timing_policy_id,run_dir
s005_instance_001,5,instance_001,EXACT_CLOSED,0,0.445763,0.103426,0.184025,True,True,2.192192,2.191915,0.00027700000000008274,0.375959,1.1856691820118683,0.005775,,439e12be8bf04208,acbb081beae2f710,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_001/attempt_01
s005_instance_002,5,instance_002,EXACT_CLOSED,0,0.426205,0.097473,0.181204,True,True,2.363709,2.363709,0.0,0.371803,1.1463194218443638,0.005981,,439e12be8bf04208,21007ff89c38353e,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_002/attempt_01
s005_instance_003,5,instance_003,EXACT_CLOSED,0,0.463659,0.124508,0.166813,True,True,2.202702,2.202702,0.0,0.388556,1.193287454060676,0.004242,,439e12be8bf04208,ffa5fb29e0f97793,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_003/attempt_01
s005_instance_004,5,instance_004,EXACT_CLOSED,0,0.435826,0.115041,0.178158,True,True,2.068163,2.068163,0.0,0.380981,1.1439573102070706,0.004822,,439e12be8bf04208,ef131b2b46e8d4c2,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_004/attempt_01
s005_instance_005,5,instance_005,EXACT_CLOSED,0,0.453896,0.110907,0.180185,True,True,2.155459,2.155459,0.0,0.389731,1.1646391998583638,0.004276,,439e12be8bf04208,e39a179b97c7f263,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_005/attempt_01
s005_instance_006,5,instance_006,EXACT_CLOSED,0,0.420071,0.086313,0.185978,True,True,2.114233,2.114233,0.0,0.371692,1.1301588411910937,0.004997,,439e12be8bf04208,d64cd362e3442abd,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_006/attempt_01
s005_instance_007,5,instance_007,EXACT_CLOSED,0,0.431078,0.10579,0.17727,True,True,2.140463,2.140463,0.0,0.405772,1.062365072010883,0.004333,,439e12be8bf04208,2c33e5d4dfa35d39,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_007/attempt_01
s005_instance_008,5,instance_008,EXACT_CLOSED,0,0.450376,0.119471,0.188169,True,True,2.100262,2.100262,0.0,0.396846,1.1348885965840654,0.004524,,439e12be8bf04208,df9fc5c81cb1365d,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_008/attempt_01
s005_instance_009,5,instance_009,EXACT_CLOSED,0,0.41486,0.085815,0.18053,True,True,2.096863,2.096863,0.0,0.374041,1.1091297478083952,0.004574,,439e12be8bf04208,3aacebd46ab6eafe,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_009/attempt_01
s005_instance_010,5,instance_010,EXACT_CLOSED,0,0.462844,0.15469,0.16478,True,True,2.204695,2.204695,0.0,0.404807,1.1433695563564858,0.004276,,439e12be8bf04208,ea2d6696da046bbb,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_010/attempt_01
s005_instance_011,5,instance_011,EXACT_CLOSED,0,0.41395,0.110246,0.161354,True,True,2.087922,2.087922,0.0,0.386953,1.0697681630585627,0.004166,,439e12be8bf04208,a2f519267ea14b2a,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_011/attempt_01
s005_instance_012,5,instance_012,EXACT_CLOSED,0,0.449204,0.116573,0.190403,True,True,2.195034,2.195034,0.0,0.39832,1.1277465354488854,0.00452,,439e12be8bf04208,b0304d4f306acd93,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_012/attempt_01
s005_instance_013,5,instance_013,EXACT_CLOSED,0,0.430471,0.108634,0.176846,True,True,2.231707,2.231707,0.0,0.386837,1.112796862761318,0.004429,,439e12be8bf04208,16416953b35c4866,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_013/attempt_01
s005_instance_014,5,instance_014,EXACT_CLOSED,0,0.446865,0.11327,0.185343,True,True,2.249908,2.117254,0.13265400000000005,0.398318,1.1218800054228029,0.004246,,439e12be8bf04208,568a020ff28fb403,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_014/attempt_01
s005_instance_015,5,instance_015,EXACT_CLOSED,0,0.450644,0.105033,0.19468,True,True,2.081278,2.081278,0.0,0.39645,1.1366981964938832,0.004269,,439e12be8bf04208,19d56a97c9a4a770,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_015/attempt_01
s005_instance_016,5,instance_016,EXACT_CLOSED,0,0.479031,0.126181,0.206461,True,True,2.158522,2.158522,0.0,0.405364,1.1817304940744615,0.004192,,439e12be8bf04208,66036cf46fb890a6,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_016/attempt_01
s005_instance_017,5,instance_017,EXACT_CLOSED,0,0.412249,0.099857,0.165323,True,True,2.22075,2.219538,0.0012119999999997688,0.401024,1.0279908434407916,0.004368,,439e12be8bf04208,a8793ae9a735ee9a,no_task_wait_base_departure_shift_v1,/home/kai/work/GAT_BPC_moonTerk/runs/p0_no_task_wait_full80_baseline_v3_20260725/slots/scale_005/instance_017/attempt_01
