slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s005:instance_001:r01:o1:no_cut,5,instance_001,1,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.407865,True,True,True,8e255a88436e937c,2.191915,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004864,12.799229,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_001_logical_graph/repeat_01/1_no_cut/attempt_01
s005:instance_001:r01:o2:live,5,instance_001,1,no_cut/live,2,live,EXACT_CLOSED,0,0.375959,True,True,True,8e255a88436e937c,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.005424,12.797134,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_001_logical_graph/repeat_01/2_live/attempt_01
s005:instance_002:r01:o1:live,5,instance_002,1,live/no_cut,1,live,EXACT_CLOSED,0,0.371803,True,True,True,8e255a88436e937c,2.363709,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004631,12.801296,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_002_logical_graph/repeat_01/1_live/attempt_01
s005:instance_002:r01:o2:no_cut,5,instance_002,1,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.389254,True,True,True,8e255a88436e937c,2.363709,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004482,12.797478,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_002_logical_graph/repeat_01/2_no_cut/attempt_01
s005:instance_003:r01:o1:no_cut,5,instance_003,1,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.384886,True,True,True,8e255a88436e937c,2.202702,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004597,12.798801,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_003_logical_graph/repeat_01/1_no_cut/attempt_01
s005:instance_003:r01:o2:live,5,instance_003,1,no_cut/live,2,live,EXACT_CLOSED,0,0.388556,True,True,True,8e255a88436e937c,2.202702,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004551,12.793243,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_003_logical_graph/repeat_01/2_live/attempt_01
s005:instance_004:r01:o1:live,5,instance_004,1,live/no_cut,1,live,EXACT_CLOSED,0,0.380981,True,True,True,8e255a88436e937c,2.068163,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004536,12.79538,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_004_logical_graph/repeat_01/1_live/attempt_01
s005:instance_004:r01:o2:no_cut,5,instance_004,1,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.395706,True,True,True,8e255a88436e937c,2.068163,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004578,12.791489,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_004_logical_graph/repeat_01/2_no_cut/attempt_01
s005:instance_005:r01:o1:no_cut,5,instance_005,1,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.376816,True,True,True,8e255a88436e937c,2.155459,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004547,12.7953,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_005_logical_graph/repeat_01/1_no_cut/attempt_01
s005:instance_005:r01:o2:live,5,instance_005,1,no_cut/live,2,live,EXACT_CLOSED,0,0.389731,True,True,True,8e255a88436e937c,2.155459,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.005318,12.794056,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_optimized_full80_paired_20260723/paired_run/raw/scale_005/instance_005_logical_graph/repeat_01/2_live/attempt_01
