slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s005:instance_001:r01:o1:no_cut,5,instance_001,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_001:r01:o2:live,5,instance_001,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_002:r01:o1:live,5,instance_002,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_002:r01:o2:no_cut,5,instance_002,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_003:r01:o1:no_cut,5,instance_003,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_003:r01:o2:live,5,instance_003,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_004:r01:o1:live,5,instance_004,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_004:r01:o2:no_cut,5,instance_004,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_005:r01:o1:no_cut,5,instance_005,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_005:r01:o2:live,5,instance_005,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_006:r01:o1:live,5,instance_006,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_006:r01:o2:no_cut,5,instance_006,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_007:r01:o1:no_cut,5,instance_007,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_007:r01:o2:live,5,instance_007,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_008:r01:o1:live,5,instance_008,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_008:r01:o2:no_cut,5,instance_008,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_009:r01:o1:no_cut,5,instance_009,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_009:r01:o2:live,5,instance_009,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_010:r01:o1:live,5,instance_010,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_010:r01:o2:no_cut,5,instance_010,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_011:r01:o1:no_cut,5,instance_011,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_011:r01:o2:live,5,instance_011,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_012:r01:o1:live,5,instance_012,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_012:r01:o2:no_cut,5,instance_012,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_013:r01:o1:no_cut,5,instance_013,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_013:r01:o2:live,5,instance_013,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_014:r01:o1:live,5,instance_014,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_014:r01:o2:no_cut,5,instance_014,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_015:r01:o1:no_cut,5,instance_015,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_015:r01:o2:live,5,instance_015,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_016:r01:o1:live,5,instance_016,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_016:r01:o2:no_cut,5,instance_016,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_017:r01:o1:no_cut,5,instance_017,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_017:r01:o2:live,5,instance_017,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_018:r01:o1:live,5,instance_018,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_018:r01:o2:no_cut,5,instance_018,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_019:r01:o1:no_cut,5,instance_019,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_019:r01:o2:live,5,instance_019,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_020:r01:o1:live,5,instance_020,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s005:instance_020:r01:o2:no_cut,5,instance_020,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_001:r01:o1:no_cut,10,instance_001,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_001:r01:o2:live,10,instance_001,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_002:r01:o1:live,10,instance_002,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
