slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s005:instance_001:r01:o1:no_cut,5,instance_001,1,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.38285,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.005993,12.660484,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_01/1_no_cut/attempt_01
s005:instance_001:r01:o2:live,5,instance_001,1,no_cut/live,2,live,EXACT_CLOSED,0,0.377015,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004597,12.653427,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_01/2_live/attempt_01
s005:instance_001:r02:o1:live,5,instance_001,2,live/no_cut,1,live,EXACT_CLOSED,0,0.371713,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.00473,12.659195,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_02/1_live/attempt_01
s005:instance_001:r02:o2:no_cut,5,instance_001,2,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.391074,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004856,12.659584,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_02/2_no_cut/attempt_01
s005:instance_001:r03:o1:no_cut,5,instance_001,3,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.365017,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.006214,12.659275,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_03/1_no_cut/attempt_01
s005:instance_001:r03:o2:live,5,instance_001,3,no_cut/live,2,live,EXACT_CLOSED,0,0.390909,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004356,12.663311,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_03/2_live/attempt_01
s005:instance_001:r04:o1:live,5,instance_001,4,live/no_cut,1,live,EXACT_CLOSED,0,0.378506,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004833,12.663044,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_04/1_live/attempt_01
s005:instance_001:r04:o2:no_cut,5,instance_001,4,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.364899,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.005978,12.659569,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_04/2_no_cut/attempt_01
s005:instance_001:r05:o1:no_cut,5,instance_001,5,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.362717,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.006184,12.659298,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_05/1_no_cut/attempt_01
s005:instance_001:r05:o2:live,5,instance_001,5,no_cut/live,2,live,EXACT_CLOSED,0,0.389077,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.006397,12.65731,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_05/2_live/attempt_01
s005:instance_001:r06:o1:live,5,instance_001,6,live/no_cut,1,live,EXACT_CLOSED,0,0.355791,True,True,True,dfaedf6d273c5c56,2.191915,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004738,12.655636,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_20260722/raw/scale_005/instance_001_logical_graph/repeat_06/1_live/attempt_01
