matrix_group,scale,instance_id,solver_backend,certificate_family,algorithm_status,certificate_scope,product_oracle_exact_optimal,has_feasible_incumbent,objective,model_objective,bound,gap,solver_info_valid,solver_info_objective_function_value,solver_info_mip_dual_bound,solver_info_mip_gap,solver_info_mip_node_count,solver_info_simplex_iteration_count,solver_info_ipm_iteration_count,solver_info_pdlp_iteration_count,solver_info_primal_solution_status,solver_info_dual_solution_status,solver_info_max_primal_infeasibility,solver_info_max_dual_infeasibility,solver_info_max_integrality_violation,solver_info_primal_dual_integral,journey_count,wall_time_sec,row_elapsed_sec,time_limit_sec,threads,mip_gap,use_reference_warm_start,mip_start_enabled,mip_start_status,mip_start_source,mip_start_objective,mip_start_sortie_count,mip_start_entry_count,mip_start_note,variable_count,constraint_count,binary_arc_var_count,task_assignment_var_count,vehicle_count,sortie_slots_per_vehicle,path_option_policy,note,fail_closed_reason,attempted_exception_type,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective
30-scale compact product oracle probe,30,lunar_ice_sp50_030_001_seed929001,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.9146,1.91460103,,,,,,,,,,,,,,,,,4,64.923248,64.949877,60.0,1,0.0,True,True,OK,instance_reference_solution,1.919465,12,366,instance_reference_solution warm start was passed to HiGHS.,277320,289102,269640,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10523.253812,1002.889083,9831.804939,0.743868109,0.768192945,1.006349925,0.596957788,1.914601,1.9146,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_002_seed929002,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.831317,1.831315914,,,,,,,,,,,,,,,,,4,65.68776,65.746278,60.0,1,0.0,True,True,OK,instance_reference_solution,1.836347,13,369,instance_reference_solution warm start was passed to HiGHS.,276960,288742,269280,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10790.175951,1036.739407,9726.211239,0.689190504,0.740574682,1.003876826,0.61710679,1.831316,1.831317,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_003_seed929003,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.823627,1.823627,,,,,,,,,,,,,,,,,4,65.399461,65.432458,60.0,1,0.0,True,True,OK,instance_reference_solution,1.827782,12,366,instance_reference_solution warm start was passed to HiGHS.,272880,284662,265200,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10609.386383,1084.84232,9859.331285,0.712730107,0.708231023,1.006664688,0.645739476,1.823627,1.823627,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_004_seed929004,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.908697,1.908697384,,,,,,,,,,,,,,,,,4,65.092973,65.140786,60.0,1,0.0,True,True,OK,instance_reference_solution,1.913246,12,366,instance_reference_solution warm start was passed to HiGHS.,271920,283702,264240,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7453.670942,264.3176178,10742.666715071,1680.0,False,5546.476838,201.573881,10795.053305,1115.83964,10066.072041,0.744126871,0.762619922,1.004876498,0.664190262,1.908697,1.908697,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_005_seed929005,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.976267,1.976267047,,,,,,,,,,,,,,,,,4,65.236882,65.295474,60.0,1,0.0,True,True,OK,instance_reference_solution,1.980343,14,372,instance_reference_solution warm start was passed to HiGHS.,276120,287902,268440,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7832.450563,281.145312531,12918.485456911,1680.0,False,6082.399963,224.367287,12971.953082,1286.591535,11495.548483,0.776564105,0.798047405,1.004138846,0.765828295,1.976267,1.976267,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_006_seed929006,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.934796,1.934795724,,,,,,,,,,,,,,,,,4,62.566176,62.59975,60.0,1,0.0,True,True,OK,instance_reference_solution,1.938824,13,369,instance_reference_solution warm start was passed to HiGHS.,273360,285142,265680,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7280.103709,252.750150979,11006.976254368,1680.0,False,5499.800559,196.507649,11058.200147,1137.285197,10119.588267,0.755456348,0.77747787,1.004653766,0.676955474,1.934796,1.934796,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_007_seed929007,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.588461,1.588461163,,,,,,,,,,,,,,,,,4,62.191737,62.249764,60.0,1,0.0,True,True,OK,instance_reference_solution,1.592918,11,363,instance_reference_solution warm start was passed to HiGHS.,273720,285502,266040,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,8096.060905,292.064408688,10646.16152584,1680.0,False,4606.605749,180.320839,10701.169276,996.505844,9067.394298,0.568993465,0.617400935,1.005166909,0.59315824,1.588461,1.588461,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_008_seed929008,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.816502,1.816501797,,,,,,,,,,,,,,,,,4,62.584926,62.643154,60.0,1,0.0,True,True,OK,instance_reference_solution,1.818454,10,360,instance_reference_solution warm start was passed to HiGHS.,284880,296662,277200,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7490.884904,259.695294876,9942.822262289,1680.0,False,5159.961981,187.926197,10042.960642,1152.576137,9365.072435,0.6888321,0.723641131,1.010071424,0.686057224,1.816502,1.816502,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_009_seed929009,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.892106,1.892107126,,,,,,,,,,,,,,,,,4,62.575092,62.638976,60.0,1,0.0,True,True,OK,instance_reference_solution,1.894827,12,366,instance_reference_solution warm start was passed to HiGHS.,284520,296302,276840,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7553.216832,264.181686512,10389.535223594,1680.0,False,5511.736708,200.331169,10495.46639,1228.959267,9910.254433,0.72972044,0.758308313,1.010195949,0.731523373,1.892107,1.892106,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_010_seed929010,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.914467,1.914467542,,,,,,,,,,,,,,,,,4,63.139661,63.199998,60.0,1,0.0,True,True,OK,instance_reference_solution,1.91663,13,369,instance_reference_solution warm start was passed to HiGHS.,279360,291142,271680,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7857.269836,282.077004087,11229.705192963,1680.0,False,5787.95903,218.761179,11294.08029,1270.456512,10524.352325,0.736637426,0.77553709,1.005732572,0.756224114,1.914468,1.914467,False
