scale,instance_id,status,feasible_incumbent_source,feasible_incumbent_objective,journey_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,note
30,lunar_ice_sp50_030_001_seed929001,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.919465,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_004_seed929004,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.913246,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7453.670942,264.3176178,10742.666715071,1680.0,False,5546.476838,201.573881,10917.207045,1125.949682,10114.933537,0.744126871,0.762619922,1.016247393,0.670208144,1.913246,1.913246,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_002_seed929002,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.836347,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_003_seed929003,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.827782,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_006_seed929006,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.938824,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7280.103709,252.750150979,11006.976254368,1680.0,False,5499.800559,196.507649,11169.058493,1146.37331,10163.931605,0.755456348,0.77747787,1.01472541,0.682365065,1.938824,1.938824,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_008_seed929008,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.818454,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7490.884904,259.695294876,9942.822262289,1680.0,False,5159.961981,187.926197,10091.461148,1152.576137,9384.472637,0.6888321,0.723641131,1.014949366,0.686057224,1.818453,1.818454,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_005_seed929005,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.980343,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7832.450563,281.145312531,12918.485456911,1680.0,False,6082.399963,224.367287,13103.573722,1294.178525,11548.196739,0.776564105,0.798047405,1.014327397,0.77034436,1.980342,1.980343,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_007_seed929007,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.592918,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,8096.060905,292.064408688,10646.16152584,1680.0,False,4606.605749,180.320839,10819.773109,1007.751558,9114.835832,0.568993465,0.617400935,1.016307435,0.599852118,1.592917,1.592918,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_009_seed929009,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.894827,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7553.216832,264.181686512,10389.535223594,1680.0,False,5511.736708,200.331169,10566.092986,1233.052524,9938.505071,0.72972044,0.758308313,1.016993808,0.733959836,1.894826,1.894827,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_011_seed929011,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.695311,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7650.507633,261.381787423,8778.565171441,1680.0,False,4857.522404,170.890835,8923.077078,1064.853005,8597.64407,0.634928117,0.65379779,1.016461905,0.633841074,1.695311,1.695311,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
