instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,diagnostic_dual_bound,diagnostic_gap,best_open_node_bound,pending_node_bound,last_certified_node_bound,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_nodes,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,restricted_master_integer_calls,restricted_master_integer_feasible,restricted_master_integer_time,restricted_master_integer_best_objective,restricted_master_integer_raw_best_objective,restricted_master_integer_rejected,restricted_master_integer_no_good_cuts,restricted_master_integer_pair_conflict_cuts,restricted_master_integer_route_set_packing_cuts,restricted_master_integer_schedule_capacity_cuts,crossing_cuts_added,crossing_cuts_upgraded,subset_row_cuts_added,lm_rank1_cuts_added,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_subset_cost_cuts_added,schedule_pair_conflict_cuts_added,schedule_clique_conflict_cuts_added,schedule_route_set_packing_cuts_added,schedule_nogood_cuts_added,schedule_capacity_cuts_added,schedule_pack_diagnostic_status,schedule_pack_diagnostic_objective,schedule_pack_diagnostic_gap_vs_root,schedule_pack_diagnostic_columns,schedule_pack_diagnostic_candidate_routes,schedule_pack_diagnostic_generated_states,schedule_pack_diagnostic_time,schedule_pack_relaxation_calls,schedule_pack_relaxation_time,schedule_pack_relaxation_root_objective,schedule_pack_relaxation_best_objective,schedule_pack_relaxation_best_gap_vs_node,schedule_pack_relaxation_candidate_exact,schedule_pack_relaxation_full_exact,schedule_pack_relaxation_full_pricing_states,schedule_pack_relaxation_full_pricing_time,schedule_pack_relaxation_columns,schedule_pack_adaptive_decisions,schedule_pack_adaptive_runs,schedule_pack_adaptive_skips,schedule_pack_adaptive_easy_skips,schedule_pack_adaptive_bound_skips,route_enumeration_adaptive_decisions,route_enumeration_adaptive_runs,route_enumeration_adaptive_skips,route_enumeration_adaptive_easy_skips,cuts_purged,generated_routes,generated_columns,label_pops,generated_labels,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
bench_10_01,10,1,10,OPTIMAL,169.567191,169.567191,0.0,169.567191,0.0,,,169.567191,6.020963,5,27,22,15,2,30,22,22,15,6,1.428151,2,0,0.162873,,169.567191,0,0,0,0,0,2,0,4,0,2,0,0,0,0,8,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1263,1263,81051,173589,14,169.29529,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_01.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_01.json,20260511
bench_10_02,10,1,10,OPTIMAL,174.248064,174.248064,0.0,174.248064,0.0,,,174.248064,0.747341,1,6,5,2,0,0,0,0,0,0,0.0,1,1,0.055289,174.248064,174.248064,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1202,1202,18980,38142,2,174.248064,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_02.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_02.json,20260511
bench_10_03,10,1,10,OPTIMAL,168.145867,168.145867,0.0,168.145867,0.0,,,168.145867,4.718232,1,16,15,8,0,0,0,0,0,0,0.0,1,1,1.419066,168.145867,168.145867,1,1,0,0,0,5,0,13,0,5,0,0,0,0,4,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1251,1251,79988,148825,22,168.145867,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_03.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_03.json,20260511
bench_10_04,10,1,10,OPTIMAL,175.511947,175.511947,0.0,175.511947,0.0,,,175.511947,0.463742,1,6,5,2,0,0,0,0,0,0,0.0,1,1,0.046967,175.511947,175.511947,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1076,1076,16940,34461,2,175.511947,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_04.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_04.json,20260511
bench_10_05,10,1,10,OPTIMAL,170.415006,170.415006,0.0,170.415006,0.0,,,170.750889,424.768013,215,559,290,229,152,950,525,525,475,186,24.81814,20,1,142.507589,170.415006,168.57564,122,112,9,0,0,2,0,4,0,2,0,0,10,4,10,88,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,86,1872,1872,1185039,2221864,32,168.57564,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_05.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_05.json,20260511
bench_10_06,10,1,10,OPTIMAL,178.319126,178.319126,0.0,178.319126,0.0,,,180.056097,1091.011178,749,1901,910,775,619,2086,1285,1283,1043,471,61.190042,20,1,289.143272,180.011867,176.390343,352,300,36,0,0,5,0,2,0,5,0,0,58,11,17,437,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,430,1636,1636,2710839,4350817,100,175.814388,205,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_06.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_06.json,20260511
bench_10_07,10,1,10,OPTIMAL,168.880473,168.880473,0.0,168.880473,0.0,,,168.880473,1.034946,1,10,9,5,0,0,0,0,0,0,0.0,1,1,0.050288,168.880473,168.880473,0,0,0,0,0,5,0,2,0,5,0,0,0,0,0,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,902,902,45325,85939,7,168.880473,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_07.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_07.json,20260511
bench_10_08,10,1,10,OPTIMAL,174.667555,174.667555,0.0,174.667555,0.0,,,176.702995,5.382755,9,37,28,18,4,80,41,41,40,12,2.930589,4,1,0.149237,174.667555,174.667555,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1345,1345,84716,190557,18,173.66359,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_08.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_08.json,20260511
bench_10_09,10,1,10,OPTIMAL,176.243615,176.243615,0.0,176.243615,0.0,,,177.433266,5.879784,9,31,22,15,4,80,37,37,40,12,2.958754,4,1,0.210807,176.243615,176.243615,0,0,0,0,0,3,0,0,0,3,0,0,0,2,3,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1128,1128,84543,156929,8,175.649054,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_09.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_09.json,20260511
bench_10_10,10,1,10,OPTIMAL,168.790059,168.790059,0.0,168.790059,0.0,,,168.790059,1.206689,1,10,9,4,0,0,0,0,0,0,0.0,1,1,0.08406,168.790059,168.790059,0,0,0,0,0,3,0,12,0,3,0,0,0,0,0,0,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1251,1251,36906,77942,15,168.790059,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_10_10.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_10_10.json,20260511
